fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
518,Mid,344.120548,3181,344.12624500000004,217.8634999999076,0.9882524075964566,0.4367282316088676,0.3256365954875946,0.43234983086586,0.3458137810230255,True,2.0,Mid|2,518.0,344.187569,Left|7,Mid|2 -> Left|7,0.0670210000000111,Mid,Left
518,Left,344.187569,3183,344.12624500000004,217.8634999999076,0.9882524075964566,0.3323657214641571,0.8327451944351196,0.3323657214641571,0.8327451944351196,True,7.0,Left|7,519.0,344.355121,Mid|5,Left|7 -> Mid|5,0.1675520000000006,Left,Mid
523,Mid,345.058839,3209,345.046114,217.86299999996567,1.106131017669992,0.5973826050758362,0.3390463548047202,0.5989164710044861,0.3695428967475891,True,5.0,Mid|5,523.0,345.12586,Left|6,Mid|5 -> Left|6,0.0670210000000111,Mid,Left
523,Left,345.12586,3211,345.046114,217.86299999996567,1.106131017669992,0.8437040448188782,0.6554145812988281,0.8437040448188782,0.6554145812988281,True,6.0,Left|6,524.0,345.259902,Mid|5,Left|6 -> Mid|5,0.1340420000000222,Left,Mid
536,Mid,347.840203,3292,347.8420305,217.86400000007689,0.4794502909403678,0.5917785316705704,0.35291572660207743,0.5936862230300903,0.365478366613388,True,5.0,Mid|5,536.0,348.007755,Left|8,Mid|5 -> Left|8,0.1675520000000006,Mid,Left
536,Left,348.007755,3297,347.8420305,217.86400000007689,0.4794502909403678,0.3424092531204223,0.8404494524002075,0.3424092531204223,0.8404494524002075,True,8.0,Left|8,537.0,348.074775,Mid|5,Left|8 -> Mid|5,0.06702000000001362,Left,Mid
540,Mid,348.610942,3315,348.6166575,217.8635000000213,0.5724399052287857,0.4563287980854511,0.328506488353014,0.4693837165832519,0.3332084119319916,True,2.0,Mid|2,540.0,348.778494,Left|9,Mid|2 -> Left|9,0.1675520000000006,Mid,Left
540,Left,348.778494,3320,348.6166575,217.8635000000213,0.5724399052287857,0.6844321489334106,0.6770690083503723,0.6844321489334106,0.6770690083503723,True,9.0,Left|9,541.0,348.845515,Mid|2,Left|9 -> Mid|2,0.06702099999995426,Left,Mid
598,Mid,360.808727,3679,360.8049195,209.79450000004363,1.0767893753118372,0.45830050110816956,0.3684519742216383,0.4526083469390869,0.357594758272171,True,5.0,Mid|5,598.0,360.942769,Left|9,Mid|5 -> Left|9,0.1340420000000222,Mid,Left
598,Left,360.942769,3683,360.8049195,209.79450000004363,1.0767893753118372,0.6869081854820251,0.7154443860054016,0.6869081854820251,0.7154443860054016,True,9.0,Left|9,599.0,361.00979,Mid|5,Left|9 -> Mid|5,0.0670210000000111,Left,Mid
