fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1324,Left,4812.882389,7975,4812.7342385,217.86799999972573,1.4588646812769064,0.9064326286315918,0.3577660620212555,0.9064326286315918,0.3577660620212555,True,6,Left|6,1325.0,4812.949411,Mid|5,Left|6 -> Mid|5,0.06702199999926961,Left,Mid
1328,Mid,4813.619631,7997,4813.621849499999,133.14200000058918,0.7507633675540937,0.4251959383487701,0.4821693956851959,0.4249363541603088,0.4817150235176086,True,5,Mid|5,1329.0,4813.787186,Dashboard|4,Mid|5 -> Dashboard|4,0.16755499999999302,Mid,Dashboard
1331,Dashboard,4814.122296,8012,4814.138278,153.31499999956577,1.4437745732369212,0.26713993648687995,0.6611747642358144,0.2574587166309356,0.655993640422821,True,4,Dashboard|4,1332.0,4814.356874,Mid|5,Dashboard|4 -> Mid|5,0.23457800000051066,Dashboard,Mid
1334,Mid,4814.759006,8031,4814.77171,137.17649999944115,1.4807019504902783,0.4849081516265869,0.5485900402069092,0.4786867201328277,0.5501789450645447,True,5,Mid|5,1334.0,4814.826028,Left|8,Mid|5 -> Left|8,0.0670220000001791,Mid,Left
1334,Left,4814.826028,8033,4814.77171,137.17649999944115,1.4807019504902783,0.532142162322998,0.8017860054969788,0.532142162322998,0.8017860054969788,True,8,Left|8,1335.0,4814.926561,Mid|5,Left|8 -> Mid|5,0.10053299999981391,Left,Mid
1362,Mid,4820.455878,8201,4820.472597,92.79550000064772,1.0490029416862174,0.5112325251102448,0.13080922886729235,0.5166507363319397,0.1274290978908538,True,2,Mid|2,1362.0,4820.556411,Left|2,Mid|2 -> Left|2,0.10053299999981391,Mid,Left
1362,Left,4820.556411,8204,4820.472597,92.79550000064772,1.0490029416862174,0.3537507653236389,0.0237285941839218,0.3537507653236389,0.0237285941839218,True,2,Left|2,1363.0,4820.656944,Mid|5,Left|2 -> Mid|5,0.1005330000007234,Left,Mid
1366,Mid,4821.293653,8226,4821.29162,217.86799999972573,1.4957711032990264,0.4956662952899933,0.49156362244061064,0.5073650479316711,0.4978588223457336,True,5,Mid|5,1366.0,4821.494719,Left|8,Mid|5 -> Left|8,0.20106600000053731,Mid,Left
1366,Left,4821.494719,8232,4821.29162,217.86799999972573,1.4957711032990264,0.5239030718803406,0.7953141331672668,0.5239030718803406,0.7953141331672668,True,8,Left|8,1367.0,4821.52823,Mid|5,Left|8 -> Mid|5,0.033510999999634805,Left,Mid
1370,Mid,4822.030895,8248,4822.042055,189.6259999994072,1.2547794176919953,0.4846058062144688,0.49345474583762033,0.4857392907142639,0.4944703578948974,True,5,Mid|5,1371.0,4822.265472,Dashboard|4,Mid|5 -> Dashboard|4,0.23457700000017212,Mid,Dashboard
1373,Dashboard,4822.567071,8264,4822.5504145,217.86799999972573,1.1514801886452886,0.36023814763341633,0.4862074383667537,0.3606040775775909,0.4887287616729736,True,5,Dashboard|5,1374.0,4822.83516,Mid|5,Dashboard|5 -> Mid|5,0.26808899999923597,Dashboard,Mid
1382,Mid,4824.309644,8316,4824.309499,217.868499999895,1.1467609173396427,0.45940119028091425,0.49430269854409353,0.4573241472244262,0.4864895045757293,True,5,Mid|5,1382.0,4824.410177,Left|9,Mid|5 -> Left|9,0.10053299999981391,Mid,Left
1382,Left,4824.410177,8319,4824.309499,217.868499999895,1.1467609173396427,0.7640298008918762,0.7381773591041565,0.7640298008918762,0.7381773591041565,True,9,Left|9,1383.0,4824.544221,Mid|5,Left|9 -> Mid|5,0.1340440000003582,Left,Mid
1384,Mid,4824.745287,8329,4824.7533045,84.72700000038458,0.9886635475005402,0.4825641065835953,0.4711594879627227,0.4861845970153808,0.4672370553016662,True,5,Mid|5,1386.0,4825.113908,Right|4,Mid|5 -> Right|4,0.36862100000053033,Mid,Right
1387,Right,4825.449019,8350,4825.2576295,185.59149999964572,0.9909092830659636,0.0203378051519393,0.6262274384498596,0.0203378051519393,0.6262274384498596,True,4,Right|4,1388.0,4825.683596,Mid|5,Right|4 -> Mid|5,0.23457700000017212,Right,Mid
